,Site,Page,Category,Product,Price,Currency,Quantitiy,Unit
0,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,"Удобрение Монофосфат калия 0,5кг",190,руб.,140, шт
1,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,Раскислитель Огородник Известняковая (доломитовая) мука 2 кг (10),43,руб.,224, шт
2,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,"Удобрение Гера Суперфосфат двойной 0,9кг (25)",77,руб.,1, шт
3,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,Удобрение Суперфосфат Гранулированный 1кг минеральное (25),112,руб.,55,
4,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,Яичная скорлупа 5кг,95,руб.,30,
5,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,Удобрение Осеннее 1кг минеральное (20),76,руб.,626, шт
6,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,"Удобрение На Грядку 0,5кг Осень минеральное",40,руб.,58,
7,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,"Удобрение Гера Осеннее 0,9кг (25)",71,руб.,381,
8,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,Удобрение Флоровит для газона 3кг осень гранулированное,833,руб.,5,
9,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,Удобрение Любо Зелено Газон-Осень 1кг (12),81,руб.,11,
10,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,Удобрение Куриный Помет 800г органика (20),45,руб.,654, шт
11,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,Удобрение Сотка Суперфосфат 1кг брикет (12),76,руб.,44,
12,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,Удобрение Суперфосфат Двойной 1кг минеральное(25),98,руб.,154,
13,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,Раскислитель Доломитовая Мука 5кг (5),88,руб.,212, шт
14,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,Удобрение Куриный Помет 12кг органика (1),596,руб.,31, шт
15,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,Компост конский 30л органика,862,руб.,37, шт
16,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,"Удобрение Гера Осеннее 2,5кг (10)",166,руб.,3, шт
17,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,"Удобрение Террасол Осеннее 2,5кг (10)",221,руб.,3, шт
18,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,Удобрение Суперфосфат Гранулированный 3кг минеральное (10),245,руб.,125, шт
19,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,Удобрение Калий Сернокислый 1кг минеральное (25),148,руб.,210, шт
20,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,Удобрение Калий Хлористый 1кг минеральное (25),98,руб.,174, шт
21,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,Удобрение Террасол Газон 5кг осень,399,руб.,2, шт
22,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,Удобрение Осеннее 3кг минеральное (10),217,руб.,1, шт
23,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,Удобрение Борофоска 1кг минеральное (20),66,руб.,,
24,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,Раскислитель Известняковая мука 4кг (6),75,руб.,,
25,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,"Удобрение Вырастайка Осень, 1 кг",60,руб.,,
26,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,Удобрение Кальций азотнокислый 20г (селитра кальциевая),10,руб.,,
27,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,Удобрение Кальций азотнокислый 1кг (селитра кальциевая),81,руб.,,
28,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,Удобрение фосфорно-калийное Осень 3кг,196,руб.,,
29,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,Удобрение фосфорно-калийное Осень 1кг,71,руб.,,
30,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,Удобрение ОМУ Универсальное Осень 3кг,200,руб.,,
31,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,Удобрение Монофосфат калия 20г,11,руб.,,
32,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,Удобрение Флоровит для хвойных 3кг осень гранулированное,833,руб.,,
33,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,"Удобрение Любо Зелено Осень 2,5кг пак (12)",157,руб.,,
34,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,"Удобрение БОНА ФОРТЕ универсальное осеннее 1,5л",410,руб.,,
35,https://garden-zoo.ru,https://garden-zoo.ru/categories/osennie-udobreniya,Осенние удобрения,Удобрение Сотка Осеннее 2.5 кг,,,,
36,https://garden-zoo.ru,https://garden-zoo.ru/categories/dlia-ovoschnykh-kultur,Для овощных культур,Дозреватель 1.7мл,81,руб.,74, шт
37,https://garden-zoo.ru,https://garden-zoo.ru/categories/dlia-ovoschnykh-kultur,Для овощных культур,"Удобрение Монофосфат калия 0,5кг",190,руб.,140, шт
38,https://garden-zoo.ru,https://garden-zoo.ru/categories/dlia-ovoschnykh-kultur,Для овощных культур,"Удобрение Калий азотнокислый 0,5кг (селитра калиевая) (40)",98,руб.,5, шт
39,https://garden-zoo.ru,https://garden-zoo.ru/categories/dlia-ovoschnykh-kultur,Для овощных культур,"Удобрение Террасол Весна-лето 2,5кг (10)",194,руб.,35,
40,https://garden-zoo.ru,https://garden-zoo.ru/categories/dlia-ovoschnykh-kultur,Для овощных культур,"Удобрение БИО Овощи 1,2кг гранулы",113,руб.,14,
41,https://garden-zoo.ru,https://garden-zoo.ru/categories/dlia-ovoschnykh-kultur,Для овощных культур,"Удобрение Гера 3D для овощей 0,5л",62,руб.,37,
42,https://garden-zoo.ru,https://garden-zoo.ru/categories/dlia-ovoschnykh-kultur,Для овощных культур,"Удобрение Гера для Томатов и Перцев 0,5кг (30)",57,руб.,191, шт
43,https://garden-zoo.ru,https://garden-zoo.ru/categories/dlia-ovoschnykh-kultur,Для овощных культур,"Удобрение Гера для Огурцов и Кабачков 0,5кг (30)",57,руб.,174,
44,https://garden-zoo.ru,https://garden-zoo.ru/categories/dlia-ovoschnykh-kultur,Для овощных культур,Удобрение Малышок для томатов и перцев 250мл (15),44,руб.,110,
45,https://garden-zoo.ru,https://garden-zoo.ru/categories/dlia-ovoschnykh-kultur,Для овощных культур,"Удобрение СЕДА БиоГумус для овощей 0,25л",200,руб.,41,
46,https://garden-zoo.ru,https://garden-zoo.ru/categories/dlia-ovoschnykh-kultur,Для овощных культур,"Удобрение Богатырь биогумус для овощей и цветов 0,3л (20)",46,руб.,80,
47,https://garden-zoo.ru,https://garden-zoo.ru/categories/dlia-ovoschnykh-kultur,Для овощных культур,Удобрение Агрис для лука и чеснока 500мл,143,руб.,20,
48,https://garden-zoo.ru,https://garden-zoo.ru/categories/dlia-ovoschnykh-kultur,Для овощных культур,Удобрение Агрис для овощей 500мл,154,руб.,32,
49,https://garden-zoo.ru,https://garden-zoo.ru/categories/dlia-ovoschnykh-kultur,Для овощных культур,"Удобрение Гера для Картофеля,моркови и свеклы 0,9кг(25)",66,руб.,443,
50,https://garden-zoo.ru,https://garden-zoo.ru/categories/dlia-ovoschnykh-kultur,Для овощных культур,Удобрение Картофель 1кг минеральное (20),64,руб.,666,
51,https://garden-zoo.ru,https://garden-zoo.ru/categories/dlia-ovoschnykh-kultur,Для овощных культур,Удобрение Щедрая земля НЦС Картофель 1кг минеральное (25),45,руб.,483,
52,https://garden-zoo.ru,https://garden-zoo.ru/categories/dlia-ovoschnykh-kultur,Для овощных культур,"Удобрение ДЖОЙ для лука и чеснока 0,5л.",106,руб.,38,
53,https://garden-zoo.ru,https://garden-zoo.ru/categories/dlia-ovoschnykh-kultur,Для овощных культур,"Лигногумат ДЖОЙ ДМ-NPK 6%  Огурцы  0,33л",88,руб.,15,
54,https://garden-zoo.ru,https://garden-zoo.ru/categories/dlia-ovoschnykh-kultur,Для овощных культур,"Лигногумат ДЖОЙ ДМ-NPK 6%  Томаты  0,33л",88,руб.,14,
55,https://garden-zoo.ru,https://garden-zoo.ru/categories/dlia-ovoschnykh-kultur,Для овощных культур,Удобрение БиоМастер Горчичный жмых  2л,125,руб.,122,
56,https://garden-zoo.ru,https://garden-zoo.ru/categories/dlia-ovoschnykh-kultur,Для овощных культур,Удобрение Почвопротектор для томатов и перцев 1кг минеральное (5),85,руб.,36,
57,https://garden-zoo.ru,https://garden-zoo.ru/categories/dlia-ovoschnykh-kultur,Для овощных культур,"Удобрение БИО Томаты 1,2кг гранулы (8)",113,руб.,10,
58,https://garden-zoo.ru,https://garden-zoo.ru/categories/dlia-ovoschnykh-kultur,Для овощных культур,Удобрение БИО Овощи 3кг гранулы,236,руб.,32,
59,https://garden-zoo.ru,https://garden-zoo.ru/categories/dlia-ovoschnykh-kultur,Для овощных культур,"Удобрение БиоМастер Большой помидор, 1,2 кг",254,руб.,31,
60,https://garden-zoo.ru,https://garden-zoo.ru/categories/dlia-ovoschnykh-kultur,Для овощных культур,"Удобрение Биогумус Флоризел овощной, 500 мл",71,руб.,32,
61,https://garden-zoo.ru,https://garden-zoo.ru/categories/dlia-ovoschnykh-kultur,Для овощных культур,"Удобрение Биогумус Флоризел для томатов и перцев, 350 мл",61,руб.,28,
